"","president","speech_year","month","avg_sentiment","avg_approval"
"327","BILL CLINTON",1995,1995-09-01,0.568469566304212,0.45
"328","BILL CLINTON",1995,1995-10-01,0.397972654408298,0.475
"329","BILL CLINTON",1995,1995-11-01,0.427983193277311,0.525
"330","BILL CLINTON",1995,1995-12-01,0.460824742268041,0.5
"331","BILL CLINTON",1996,1996-01-01,0.479568452380952,0.466666666666667
"332","BILL CLINTON",1996,1996-02-01,0.404911138244472,0.53
"333","BILL CLINTON",1996,1996-03-01,0.462142857142857,0.53
"334","BILL CLINTON",1996,1996-04-01,0.447674677347575,0.545
"335","BILL CLINTON",1996,1996-05-01,0.485113871635611,0.535
"336","BILL CLINTON",1996,1996-06-01,0.401538710722384,0.54
"337","BILL CLINTON",1996,1996-07-01,0.483488095238095,0.565
"338","BILL CLINTON",1996,1996-08-01,0.532364507364507,0.5525
"339","BILL CLINTON",1996,1996-09-01,0.506360708534622,NA
"340","BILL CLINTON",1996,1996-10-01,0.45174661105318,0.56
"341","BILL CLINTON",1996,1996-11-01,0.52046485260771,0.57
"342","BILL CLINTON",1996,1996-12-01,0.570939153439153,0.57
"343","BILL CLINTON",1997,1997-01-01,0.449319727891156,0.59
"344","BILL CLINTON",1997,1997-02-01,0.50485312899106,0.56
"345","BILL CLINTON",1997,1997-03-01,0.462834821428571,0.59
"346","BILL CLINTON",1997,1997-04-01,0.482891255917572,0.54
"347","BILL CLINTON",1997,1997-05-01,0.434039609727683,0.565
"348","BILL CLINTON",1997,1997-06-01,0.54741881462065,0.55
"349","BILL CLINTON",1997,1997-07-01,0.76046176046176,0.58
"350","BILL CLINTON",1997,1997-08-01,0.380357142857143,0.6
"351","BILL CLINTON",1997,1997-09-01,0.542801513128616,0.585
"352","BILL CLINTON",1997,1997-10-01,0.526925095106913,0.565
"353","BILL CLINTON",1997,1997-11-01,0.450525708859042,0.59
"354","BILL CLINTON",1997,1997-12-01,0.540833769405198,0.55
"355","BILL CLINTON",1998,1998-01-01,0.467116402116402,0.618333333333333
"356","BILL CLINTON",1998,1998-02-01,0.454105616605617,0.655
"357","BILL CLINTON",1998,1998-03-01,0.499292875044755,0.646666666666667
"358","BILL CLINTON",1998,1998-04-01,0.444853968253968,0.65
"359","BILL CLINTON",1998,1998-05-01,0.467740269623831,0.64
"360","BILL CLINTON",1998,1998-06-01,0.495764440035273,0.6
