,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
68,218,BARACK OBAMA,2014,8/1/14,0.250631681,0.416333333,1.612903226,3.765529549,0.855745721,4.9,0.192001617,8.478563298,0,-0.076922421,-0.3,-0.327422177
69,219,BARACK OBAMA,2014,9/1/14,0.330295014,0.417142857,3.278688525,-1.551383722,2.545454545,4.9,-0.085909206,1.316108939,0,0.294938268,0.2,-0.247758844
70,220,BARACK OBAMA,2014,10/1/14,0.502165393,0.415,3.389830508,2.320146079,2.718676123,1.9,0.237496684,6.583370967,0.471850531,0.02325344,-0.2,-0.075888465
71,221,BARACK OBAMA,2014,11/1/14,0.60875496,0.420689655,-1.754385965,2.453358876,2.186421174,1.9,2.259192183,2.83456708,0,0.801017621,0.1,0.030701102
72,222,BARACK OBAMA,2014,12/1/14,0.523286174,0.442307692,3.448275862,-0.418858788,5.405405405,1.9,3.701531333,1.055479031,0,-0.14981765,0.3,-0.054767683
73,223,BARACK OBAMA,2015,1/1/15,0.544940476,0.464482759,-1.785714286,-3.104080579,4.807692308,3.3,7.79168007,-1.591775825,0.822715043,-0.587775766,0.1,-0.033113382
74,224,BARACK OBAMA,2015,2/1/15,0.333703704,0.459230769,3.50877193,5.489251101,-2.752293578,3.3,-2.648284324,3.62609995,0,-0.432482159,0.2,-0.244350154
75,225,BARACK OBAMA,2015,3/1/15,0.592337491,0.461935484,1.818181818,-1.739610691,-2.51572327,3.3,-3.922868949,7.538237436,0,-0.316545452,-0.5,0.014283633
76,226,BARACK OBAMA,2015,4/1/15,0.585545822,0.467931034,0,0.852081973,3.11827957,3.3,-0.767780344,3.503779311,0.824613799,-0.499783034,0.2,0.007491964
77,227,BARACK OBAMA,2015,5/1/15,0.464919723,0.464516129,-3.703703704,1.049138239,-5.422314911,3.3,-4.156574468,7.311912611,0,-0.471402175,-0.1,-0.113134135
78,228,BARACK OBAMA,2015,6/1/15,0.556388889,0.455517241,5.357142857,-2.101167238,5.953693495,3.3,-3.595331133,3.932149233,0,-0.363610157,0.1,-0.021664969
