"","president_name","Emotion","Percentage"
"204","JOHN QUINCY ADAMS","Sadness",0.0242720908551201
"205","JOHN TYLER","Sadness",0.0418982222266101
"206","LYNDON B. JOHNSON","Sadness",0.0575347251190564
"207","MARTIN VAN BUREN","Sadness",0.0406772881063685
"208","MILLARD FILLMORE","Sadness",0.0426276060718551
"209","RICHARD NIXON","Sadness",0.0538635153154483
"210","RONALD REAGAN","Sadness",0.0610477213174994
"211","RUTHERFORD B. HAYES","Sadness",0.0369739839011823
"212","THEODORE ROOSEVELT","Sadness",0.0366543185647911
"213","THOMAS JEFFERSON","Sadness",0.0539067681633496
"214","ULYSSES S. GRANT","Sadness",0.0429781797153864
"215","WARREN G. HARDING","Sadness",0.058370703162148
"216","WILLIAM HENRY HARRISON","Sadness",0.142242470260693
"217","WILLIAM HOWARD TAFT","Sadness",0.0461931431793952
"218","WILLIAM MCKINLEY","Sadness",0.0462394542638077
"219","WOODROW WILSON","Sadness",0.0634478429176538
"220","ZACHARY TAYLOR","Sadness",0.0365444463632572
"221","ABRAHAM LINCOLN","Surprise",0.0313896719321658
"222","ANDREW JACKSON","Surprise",0.0259933944283095
"223","ANDREW JOHNSON","Surprise",0.019566542930721
"224","BARACK OBAMA","Surprise",0.0668140775579969
"225","BENJAMIN HARRISON","Surprise",0.0501892132644865
"226","BILL CLINTON","Surprise",0.0651334557914259
"227","CALVIN COOLIDGE","Surprise",0.0575535537947249
"228","CHESTER A. ARTHUR","Surprise",0.0191735901654506
"229","DONALD TRUMP","Surprise",0.0813353519131157
"230","DWIGHT D. EISENHOWER","Surprise",0.0555240083226191
"231","FRANKLIN D. ROOSEVELT","Surprise",0.0574007917216852
"232","FRANKLIN PIERCE","Surprise",0.0148777724100701
"233","GEORGE BUSH","Surprise",0.059095775947165
"234","GEORGE W. BUSH","Surprise",0.0626541890002367
"235","GEORGE WASHINGTON","Surprise",0.0357550364111641
"236","GERALD FORD","Surprise",0.0615271433006057
"237","GROVER CLEVELAND","Surprise",0.0463516269995194
"238","HARRY S. TRUMAN","Surprise",0.0535160239401242
"239","HERBERT HOOVER","Surprise",0.0665209974152382
"240","JAMES A. GARFIELD","Surprise",0.0234976493041009
"241","JAMES BUCHANAN","Surprise",0.0240697509592948
"242","JAMES K. POLK","Surprise",0.0244700560574885
"243","JAMES MADISON","Surprise",0.0243742486466728
"244","JAMES MONROE","Surprise",0.0303873531292617
"245","JIMMY CARTER","Surprise",0.0547231477328841
"246","JOHN ADAMS","Surprise",0.0308728742910438
"247","JOHN F. KENNEDY","Surprise",0.0624107954758732
"248","JOHN QUINCY ADAMS","Surprise",0.0206514092293704
"249","JOHN TYLER","Surprise",0.0213527389688771
